expenditure,income,maininc,region,nadults,nkids,SexHRP,housing,internet
704.4203,1015.92,earnings,West Mid,2 adults,Two or m,Male,Owned,1
493.475,743.34,earnings,Eastern,2 adults,One chil,Male,Owned,1
756.0253,1184.99,earnings,London,1 adult,No child,Male,Owned,1
705.8478,1006.305,earnings,Wales,2 adults,Two or m,Male,Owned,1
157.3633,330.98,other so,South Ea,1 adult,No child,Male,Owned,0
581.851,587.68,earnings,Eastern,2 adults,No child,Female,Owned,1
499.9616,499.45,earnings,South Ea,1 adult,Two or m,Female,Owned,1
491.625,406.17,other so,Scotland,4 and mo,No child,Male,Private,1
111.3398,259.09,other so,Scotland,2 adults,No child,Male,Public r,0
361.7687,902.4475,earnings,Yorkshir,2 adults,One chil,Female,Owned,1
340.8927,1103.435,earnings,Eastern,1 adult,No child,Male,Owned,1
310.9296,767.81,earnings,Eastern,2 adults,Two or m,Male,Owned,1
166.04,174.69,other so,East Mid,1 adult,No child,Female,Public r,1
890.9763,608.6225,other so,South We,2 adults,No child,Female,Owned,1
275.243,610.79,earnings,Scotland,2 adults,Two or m,Male,Owned,1
79.32,165.96200000000002,other so,West Mid,1 adult,No child,Female,Public r,0
663.8925,964.55,earnings,East Mid,2 adults,One chil,Male,Owned,1
310.2256,648.245,earnings,Scotland,2 adults,One chil,Male,Owned,1
460.5284,0.0,other so,Scotland,2 adults,No child,Female,Public r,1
1036.84,1184.99,earnings,South We,4 and mo,No child,Male,Owned,1
277.251,322.37,earnings,West Mid,2 adults,One chil,Female,Public r,1
477.3392,344.644,other so,South Ea,2 adults,No child,Male,Owned,1
1175.0,1184.99,other so,South We,1 adult,No child,Female,Owned,1
324.7342,433.24,earnings,East Mid,1 adult,No child,Female,Private,1
1175.0,950.02,earnings,London,2 adults,No child,Male,Private,1
331.601,753.34,earnings,South Ea,1 adult,No child,Female,Private,1
1175.0,1184.99,other so,London,2 adults,No child,Male,Owned,1
791.4529,1184.99,earnings,West Mid,2 adults,No child,Male,Owned,1
205.3887,216.5,earnings,West Mid,1 adult,No child,Female,Private,1
157.6311,150.042,other so,Yorkshir,1 adult,No child,Female,Public r,0
332.09,409.79400000000004,other so,North We,2 adults,One chil,Female,Public r,1
366.79699999999997,803.88,earnings,Wales,2 adults,No child,Male,Owned,1
662.2509,1184.99,earnings,London,1 adult,No child,Male,Owned,1
428.845,1184.99,earnings,London,2 adults,No child,Male,Public r,1
234.7605,331.81,earnings,Scotland,1 adult,No child,Female,Owned,1
137.7779,140.042,other so,Yorkshir,1 adult,No child,Male,Public r,0
613.6845,484.12,earnings,London,3 adults,One chil,Female,Owned,1
589.4737,1184.99,earnings,London,3 adults,One chil,Female,Public r,1
630.8561,829.35,other so,Eastern,2 adults,No child,Male,Owned,1
368.925,577.04,earnings,Northern,2 adults,No child,Male,Private,0
280.4623,341.67400000000004,other so,Yorkshir,2 adults,No child,Male,Owned,0
466.9239,970.25,earnings,North We,2 adults,Two or m,Male,Public r,1
97.77103000000001,170.78,other so,Wales,1 adult,No child,Female,Owned,1
236.5822,470.154,other so,North We,2 adults,No child,Female,Owned,1
295.4086,209.42,earnings,South We,2 adults,No child,Female,Public r,1
255.2985,207.0,other so,Scotland,1 adult,Two or m,Female,Private,0
299.6196,551.99,earnings,East Mid,2 adults,No child,Male,Owned,0
553.3319,516.86,other so,Eastern,1 adult,No child,Female,Owned,1
680.5209,446.75,earnings,South We,3 adults,No child,Female,Public r,1
540.4331,1069.86,earnings,South Ea,2 adults,Two or m,Male,Owned,1
139.708,181.81,other so,North Ea,1 adult,No child,Male,Public r,1
854.5994,571.077,other so,Scotland,2 adults,No child,Male,Owned,1
415.7461,460.04,other so,Scotland,1 adult,Two or m,Female,Public r,1
238.5632,355.164,other so,South Ea,2 adults,No child,Male,Owned,0
462.1385,405.695,earnings,Yorkshir,2 adults,One chil,Female,Private,1
447.0065,815.315,earnings,South Ea,2 adults,Two or m,Male,Owned,1
1175.0,1184.99,earnings,North We,4 and mo,No child,Male,Owned,1
124.87,228.105,other so,London,1 adult,No child,Male,Private,1
341.3459,643.895,earnings,West Mid,1 adult,No child,Female,Owned,1
305.8377,384.244,other so,East Mid,2 adults,No child,Male,Owned,1
334.5656,582.0245,other so,South Ea,1 adult,No child,Female,Owned,0
136.0547,474.79,earnings,Yorkshir,2 adults,No child,Male,Owned,1
291.7449,379.17400000000004,other so,South We,2 adults,No child,Male,Owned,1
121.4638,120.89200000000001,other so,South Ea,1 adult,No child,Female,Public r,1
477.3827,318.77,other so,South Ea,2 adults,Two or m,Female,Private,1
395.6513,497.0,earnings,South Ea,1 adult,No child,Male,Private,1
514.7247,1184.99,earnings,South Ea,2 adults,No child,Male,Owned,1
324.4557,299.39,other so,South Ea,1 adult,One chil,Female,Public r,1
83.185,159.55,other so,North We,1 adult,No child,Female,Private,0
616.388,630.489,other so,South We,2 adults,No child,Male,Owned,1
249.8947,290.552,other so,Yorkshir,1 adult,No child,Female,Owned,1
158.1168,79.312,other so,South We,1 adult,No child,Female,Owned,0
272.8111,174.89,other so,West Mid,1 adult,No child,Female,Owned,1
235.3927,341.56,earnings,East Mid,2 adults,No child,Female,Owned,1
177.0705,140.59,other so,East Mid,1 adult,No child,Female,Owned,1
257.5215,297.82,other so,Eastern,1 adult,No child,Male,Owned,1
803.4037,978.78,earnings,South Ea,1 adult,Two or m,Male,Private,1
287.7859,489.24,other so,Eastern,2 adults,No child,Male,Owned,1
326.5084,577.37,earnings,South Ea,2 adults,No child,Male,Public r,1
611.5514,521.785,earnings,London,3 adults,No child,Female,Owned,1
275.1619,384.66,earnings,South Ea,1 adult,No child,Female,Private,1
213.998,169.21200000000002,other so,North Ea,1 adult,No child,Female,Public r,1
562.15,662.1519999999999,other so,South Ea,1 adult,No child,Female,Owned,1
257.7831,306.457,other so,South We,1 adult,No child,Female,Public r,1
1072.9589999999998,396.6495,other so,West Mid,2 adults,No child,Female,Owned,1
81.515,153.15,other so,West Mid,1 adult,No child,Male,Public r,1
206.3501,265.192,other so,North We,1 adult,No child,Female,Owned,0
208.7822,782.1039999999999,earnings,Eastern,2 adults,No child,Male,Owned,0
222.3553,329.87,earnings,South Ea,1 adult,No child,Female,Private,0
68.77055,71.0,other so,Scotland,1 adult,No child,Male,Public r,0
584.3209,1184.99,other so,East Mid,2 adults,No child,Male,Owned,1
213.8569,407.994,other so,Yorkshir,2 adults,No child,Male,Owned,0
198.2343,470.205,other so,East Mid,1 adult,No child,Male,Owned,0
284.56,372.51,other so,Eastern,1 adult,One chil,Male,Private,1
223.7074,435.98199999999997,other so,South Ea,1 adult,No child,Male,Owned,1
172.99,72.0,other so,West Mid,1 adult,No child,Male,Private,1
412.5893,563.309,other so,South Ea,2 adults,No child,Male,Owned,1
765.4601,708.2189999999999,other so,East Mid,2 adults,No child,Male,Owned,1
381.7351,576.97,earnings,Yorkshir,2 adults,No child,Male,Owned,1
61.69,146.0,other so,South Ea,2 adults,Two or m,Male,Public r,0
138.5692,340.0,other so,South Ea,2 adults,Two or m,Female,Public r,1
293.0335,383.102,earnings,North We,2 adults,No child,Female,Public r,1
434.0677,807.73,earnings,East Mid,2 adults,No child,Female,Owned,1
1175.0,1184.99,earnings,North Ea,3 adults,No child,Female,Owned,1
1108.935,1004.08,earnings,Northern,4 and mo,No child,Male,Owned,1
563.1,181.687,other so,South We,1 adult,No child,Female,Public r,1
1175.0,895.1375,earnings,London,2 adults,No child,Female,Owned,1
479.96,883.1619999999999,earnings,Eastern,3 adults,One chil,Male,Private,1
637.6318,771.0269999999999,other so,North Ea,2 adults,No child,Female,Owned,1
393.98800000000006,427.76,earnings,East Mid,2 adults,No child,Male,Public r,0
179.335,192.97400000000002,other so,Wales,2 adults,No child,Male,Owned,1
287.0321,78.77,other so,West Mid,1 adult,No child,Female,Owned,0
268.4,118.042,other so,Northern,1 adult,No child,Female,Public r,0
685.0264,359.47900000000004,other so,South Ea,2 adults,No child,Male,Owned,1
266.4668,544.8,earnings,North We,2 adults,Two or m,Male,Owned,1
1175.0,1184.99,other so,South We,2 adults,No child,Male,Owned,1
412.3499,1184.99,earnings,Yorkshir,2 adults,No child,Male,Owned,1
201.4162,197.09,earnings,West Mid,1 adult,No child,Female,Public r,0
1161.778,1184.99,other so,South Ea,2 adults,No child,Male,Owned,1
662.4364,1184.99,other so,North We,3 adults,No child,Male,Owned,1
335.3464,283.642,other so,Yorkshir,2 adults,No child,Female,Owned,1
462.5103,411.98400000000004,other so,Yorkshir,2 adults,No child,Male,Public r,1
388.3,560.52,earnings,West Mid,2 adults,No child,Male,Private,1
377.3263,456.51,earnings,Eastern,1 adult,Two or m,Female,Public r,1
305.9558,344.54,earnings,South We,1 adult,No child,Male,Public r,1
633.7614,1184.99,earnings,Scotland,2 adults,No child,Male,Owned,1
1175.0,859.0039999999999,earnings,Eastern,3 adults,No child,Male,Owned,1
718.5909,1047.772,earnings,Scotland,3 adults,Two or m,Male,Owned,1
201.3881,99.0,other so,Scotland,1 adult,No child,Male,Private,1
717.0783,1184.99,earnings,North Ea,2 adults,No child,Male,Owned,1
53.145,147.33,other so,South Ea,1 adult,No child,Male,Public r,1
1175.0,1009.37,earnings,South Ea,1 adult,No child,Female,Owned,1
362.4049,604.4,earnings,North Ea,2 adults,No child,Male,Owned,1
1175.0,1184.99,earnings,West Mid,2 adults,One chil,Male,Private,1
623.0851,830.435,earnings,London,2 adults,No child,Male,Private,1
115.8332,260.972,other so,West Mid,1 adult,No child,Female,Owned,0
203.015,175.632,other so,North We,1 adult,No child,Male,Public r,1
169.3954,442.787,other so,East Mid,1 adult,No child,Male,Owned,0
884.8687,1184.99,earnings,East Mid,2 adults,Two or m,Male,Owned,1
196.5461,248.36,other so,Scotland,1 adult,One chil,Female,Public r,0
218.1051,270.907,other so,Yorkshir,1 adult,No child,Male,Owned,0
186.845,69.5,other so,Wales,1 adult,No child,Female,Public r,0
287.61,322.35,other so,South Ea,3 adults,No child,Male,Public r,0
241.8624,425.23400000000004,other so,South Ea,2 adults,No child,Male,Private,1
1175.0,292.8425,earnings,North We,2 adults,Two or m,Male,Owned,1
551.144,581.3,earnings,London,2 adults,No child,Female,Owned,1
443.68199999999996,558.4019999999999,other so,South We,2 adults,No child,Male,Owned,1
1077.792,1184.99,earnings,West Mid,2 adults,Two or m,Male,Owned,1
364.0459,697.242,other so,South Ea,1 adult,No child,Female,Owned,1
962.4148,1184.99,earnings,East Mid,2 adults,One chil,Male,Owned,1
369.7243,569.12,earnings,East Mid,2 adults,No child,Male,Public r,1
276.008,389.43,earnings,Northern,1 adult,No child,Male,Owned,0
1055.665,1184.99,earnings,West Mid,3 adults,One chil,Female,Owned,1
314.7431,338.85,other so,Yorkshir,2 adults,No child,Male,Owned,1
214.855,148.5,other so,Yorkshir,1 adult,One chil,Female,Private,0
212.9908,1040.762,earnings,Wales,1 adult,No child,Male,Owned,1
141.3856,115.962,other so,Yorkshir,1 adult,No child,Male,Private,0
482.9698,568.359,other so,Yorkshir,2 adults,No child,Male,Owned,1
727.1328,987.685,earnings,South Ea,2 adults,No child,Female,Owned,1
568.56,1184.99,earnings,London,2 adults,No child,Male,Private,1
237.6123,438.42,earnings,North Ea,2 adults,Two or m,Male,Private,1
1175.0,1184.99,earnings,West Mid,2 adults,No child,Male,Owned,1
343.3357,495.72,earnings,Eastern,2 adults,No child,Male,Private,1
303.2376,438.94199999999995,earnings,West Mid,2 adults,No child,Female,Owned,1
242.5076,334.19,earnings,North Ea,2 adults,One chil,Female,Private,1
141.1115,195.14,other so,North Ea,2 adults,One chil,Male,Private,1
407.398,351.74,earnings,London,1 adult,No child,Female,Public r,1
631.5056,740.0,earnings,South Ea,3 adults,No child,Male,Owned,1
1175.0,1184.99,earnings,East Mid,4 and mo,One chil,Male,Owned,1
535.7608,1184.99,earnings,London,2 adults,No child,Female,Owned,1
260.0006,427.92,earnings,Yorkshir,1 adult,No child,Female,Public r,1
243.4855,344.34,earnings,North We,1 adult,No child,Male,Owned,1
811.5043,736.3675,earnings,South We,1 adult,No child,Female,Owned,1
555.8562,703.31,earnings,West Mid,2 adults,No child,Male,Owned,1
1175.0,1184.99,earnings,East Mid,3 adults,One chil,Male,Owned,1
276.58,837.84,earnings,Eastern,2 adults,No child,Male,Owned,1
212.6078,341.22,earnings,West Mid,1 adult,Two or m,Male,Private,1
426.077,1184.99,earnings,South Ea,2 adults,Two or m,Male,Owned,1
303.9102,199.79,earnings,West Mid,1 adult,One chil,Female,Owned,1
319.2322,824.6339999999999,earnings,Eastern,2 adults,No child,Male,Owned,1
1175.0,967.98,earnings,Yorkshir,2 adults,One chil,Male,Owned,1
116.911,70.0,other so,North We,1 adult,No child,Female,Public r,1
237.4333,642.664,earnings,Yorkshir,2 adults,No child,Male,Owned,1
399.6452,1184.99,earnings,Yorkshir,3 adults,No child,Female,Owned,1
591.3248,1105.6,earnings,South We,3 adults,No child,Female,Public r,0
779.5179,993.75,earnings,West Mid,1 adult,One chil,Female,Owned,1
474.8466,894.28,earnings,South Ea,2 adults,Two or m,Male,Owned,1
800.9379,725.28,earnings,East Mid,1 adult,Two or m,Female,Owned,1
244.3,250.8615,other so,Eastern,2 adults,No child,Male,Public r,1
1175.0,1184.99,earnings,South Ea,3 adults,No child,Female,Owned,1
341.29,415.82,earnings,South We,1 adult,No child,Male,Private,1
422.861,827.06,earnings,South We,1 adult,No child,Male,Owned,1
861.0223,1184.99,earnings,North We,2 adults,No child,Female,Owned,1
442.5446,692.06,earnings,Eastern,2 adults,No child,Male,Owned,1
286.365,411.0575,earnings,South We,1 adult,No child,Female,Private,1
183.8167,319.56,other so,East Mid,4 and mo,No child,Female,Public r,1
675.6846,942.36,earnings,South We,2 adults,No child,Male,Owned,1
642.9286,970.0,earnings,South We,2 adults,No child,Female,Owned,1
447.8474,1151.734,other so,South Ea,2 adults,No child,Male,Owned,1
208.9084,212.07,other so,South We,1 adult,Two or m,Female,Public r,1
337.2842,467.3,earnings,Eastern,2 adults,No child,Male,Private,1
453.2873,811.785,earnings,South Ea,1 adult,No child,Male,Owned,1
616.9182,552.97,earnings,South We,2 adults,Two or m,Male,Owned,1
521.1805,1184.99,earnings,Scotland,2 adults,Two or m,Male,Owned,1
247.9435,526.48,earnings,South Ea,1 adult,No child,Female,Owned,1
460.4689,468.67400000000004,other so,West Mid,2 adults,No child,Male,Owned,1
395.3925,718.11,earnings,South Ea,3 adults,Two or m,Male,Public r,1
644.4111,279.86,earnings,Yorkshir,1 adult,Two or m,Female,Public r,1
446.2692,487.82,earnings,London,2 adults,One chil,Male,Private,1
800.4303,395.454,other so,Scotland,2 adults,No child,Male,Owned,1
95.64758,141.92,other so,East Mid,1 adult,No child,Female,Owned,1
291.3584,6.15,other so,South We,1 adult,No child,Male,Private,1
745.1741,567.51,earnings,Eastern,2 adults,No child,Male,Public r,1
430.37699999999995,327.629,other so,South We,2 adults,No child,Female,Owned,1
907.5829,1184.99,earnings,Scotland,2 adults,Two or m,Female,Owned,1
229.7085,252.074,other so,Eastern,2 adults,No child,Female,Owned,1
182.1075,318.862,other so,West Mid,1 adult,No child,Male,Owned,1
399.1433,1149.08,earnings,East Mid,2 adults,No child,Male,Private,1
605.6646,944.165,earnings,North We,2 adults,Two or m,Female,Owned,1
476.8335,755.712,earnings,Eastern,2 adults,No child,Male,Owned,1
274.2574,349.3,other so,North We,3 adults,No child,Female,Private,1
898.4163,1184.99,other so,North Ea,2 adults,No child,Male,Owned,1
848.36,231.7,earnings,Scotland,4 and mo,No child,Female,Private,1
653.2130000000001,1184.99,earnings,South Ea,2 adults,One chil,Male,Owned,1
501.6902,769.21,earnings,West Mid,2 adults,No child,Male,Owned,1
1122.157,563.61,earnings,North We,2 adults,Two or m,Male,Owned,1
418.0349,824.35,earnings,South Ea,2 adults,No child,Male,Private,1
707.1058,1184.99,other so,Eastern,2 adults,No child,Male,Owned,1
378.156,565.08,earnings,South We,2 adults,Two or m,Male,Private,1
209.7779,216.91,earnings,West Mid,1 adult,No child,Female,Private,1
523.5781,665.1,earnings,North We,2 adults,One chil,Female,Owned,1
293.8463,875.46,earnings,London,3 adults,No child,Female,Owned,1
640.1221,1024.82,earnings,South Ea,3 adults,No child,Female,Owned,1
745.4145,572.65,other so,South We,2 adults,No child,Male,Owned,1
902.6115,1184.99,earnings,North Ea,2 adults,Two or m,Male,Owned,1
582.7638,1032.84,earnings,East Mid,4 and mo,Two or m,Male,Owned,1
737.8953,1184.99,earnings,South We,2 adults,One chil,Male,Owned,1
287.0558,288.092,other so,Yorkshir,1 adult,No child,Female,Private,1
622.1769,1180.175,earnings,West Mid,2 adults,One chil,Male,Owned,1
934.3303,1030.62,earnings,London,4 and mo,Two or m,Male,Private,1
283.4366,231.65,other so,Eastern,2 adults,No child,Female,Private,1
674.6044,708.03,earnings,North Ea,2 adults,Two or m,Male,Owned,1
1175.0,1040.489,earnings,Scotland,2 adults,No child,Male,Owned,1
509.8716,284.117,other so,South We,1 adult,No child,Female,Owned,1
1147.506,1184.99,other so,South Ea,2 adults,No child,Male,Owned,1
92.76286999999999,107.17,other so,Eastern,1 adult,No child,Female,Public r,1
577.3997,878.64,earnings,Eastern,3 adults,No child,Female,Owned,1
458.5058,1184.99,earnings,North We,2 adults,No child,Male,Owned,1
433.115,948.285,earnings,South Ea,2 adults,No child,Female,Private,1
318.8652,629.804,other so,Scotland,2 adults,No child,Female,Owned,1
785.0859,1184.99,earnings,South We,2 adults,No child,Female,Owned,1
342.6469,567.2295,other so,Eastern,1 adult,No child,Female,Owned,1
380.4819,1112.5,earnings,North We,2 adults,One chil,Male,Owned,1
379.4464,351.91,earnings,South Ea,2 adults,No child,Male,Owned,1
491.1149,1087.672,earnings,Yorkshir,1 adult,No child,Male,Owned,1
857.9351,1184.99,earnings,London,2 adults,One chil,Male,Owned,1
910.675,1184.99,earnings,South Ea,2 adults,One chil,Male,Private,1
968.7082,813.95,other so,North We,2 adults,No child,Male,Owned,1
99.33913000000001,153.63,other so,North Ea,1 adult,One chil,Female,Private,0
677.2085,762.18,earnings,West Mid,2 adults,One chil,Male,Owned,1
732.1476,930.12,earnings,South Ea,2 adults,Two or m,Male,Owned,1
488.4987,372.11,other so,East Mid,2 adults,No child,Male,Owned,1
1175.0,1184.99,earnings,South Ea,2 adults,No child,Male,Owned,1
587.6525,1017.47,earnings,Yorkshir,2 adults,Two or m,Male,Owned,1
385.4631,211.58,other so,Northern,1 adult,No child,Female,Owned,0
516.4006,444.0325,other so,North Ea,2 adults,No child,Male,Owned,1
585.3799,1140.272,earnings,South We,3 adults,No child,Female,Owned,1
495.1305,832.5065,other so,South Ea,2 adults,No child,Male,Owned,1
728.5872,1030.95,earnings,South Ea,3 adults,No child,Male,Owned,1
1175.0,1184.99,earnings,East Mid,2 adults,Two or m,Male,Owned,1
484.1686,991.14,earnings,London,2 adults,No child,Male,Public r,1
618.1251,613.05,other so,South Ea,2 adults,Two or m,Female,Public r,1
112.1736,225.2,other so,London,1 adult,No child,Female,Public r,1
1175.0,1184.99,earnings,East Mid,4 and mo,No child,Male,Owned,1
644.0176,1184.99,other so,North Ea,2 adults,No child,Male,Owned,1
172.0227,168.93200000000002,other so,Scotland,1 adult,No child,Male,Public r,0
202.4365,254.042,other so,Scotland,2 adults,No child,Female,Public r,0
169.0062,251.27,earnings,Scotland,1 adult,No child,Female,Owned,1
262.7252,363.79,other so,East Mid,2 adults,No child,Male,Owned,1
124.435,145.8,other so,West Mid,1 adult,One chil,Female,Private,1
1175.0,694.78,earnings,London,2 adults,Two or m,Male,Owned,1
1067.16,908.635,earnings,South We,2 adults,One chil,Male,Private,1
200.8618,574.89,earnings,Yorkshir,2 adults,No child,Male,Owned,1
429.214,633.62,earnings,Yorkshir,3 adults,No child,Male,Public r,1
649.7015,1184.99,earnings,West Mid,2 adults,Two or m,Male,Owned,1
272.9628,507.144,other so,West Mid,2 adults,No child,Male,Owned,1
984.6904,1184.99,earnings,West Mid,2 adults,Two or m,Male,Owned,1
516.875,946.22,earnings,Scotland,2 adults,One chil,Female,Owned,1
559.1108,568.74,other so,London,3 adults,Two or m,Female,Private,1
540.2114,918.18,earnings,South Ea,2 adults,No child,Male,Private,1
374.955,658.824,other so,Scotland,2 adults,No child,Male,Owned,1
245.3991,291.492,other so,South We,1 adult,No child,Female,Owned,0
137.8881,175.85,other so,North We,1 adult,No child,Female,Owned,0
61.565,150.702,other so,North Ea,1 adult,No child,Female,Public r,0
337.95,502.18,earnings,East Mid,3 adults,No child,Male,Private,1
388.7158,490.02,earnings,London,2 adults,No child,Female,Owned,1
213.425,139.002,other so,Eastern,1 adult,No child,Female,Owned,0
445.1722,514.65,earnings,West Mid,1 adult,No child,Male,Private,1
169.21900000000002,354.022,other so,West Mid,3 adults,No child,Female,Owned,0
1134.854,1040.157,earnings,Wales,2 adults,One chil,Female,Owned,1
464.296,1037.17,earnings,Wales,2 adults,One chil,Male,Owned,1
137.805,142.29,other so,South Ea,1 adult,No child,Male,Public r,0
